"ID","Epic","Feature","User Story (Short Desc)","User Story (Detail)","Acceptance Criteria","Trạng thái","Việc cần phát triển","Ưu tiên","Thứ tự thực hiện","Tên nhóm","Phụ thuộc"
"PM-023","EP-03 Quản lý Sprint","Khởi tạo Sprint","Tạo Sprint với mục tiêu và khung thời gian","Là một Scrum Master, tôi muốn tạo Sprint kèm tên, mục tiêu và ngày bắt đầu, ngày kết thúc, để nhóm có nhịp độ làm việc rõ ràng.","AC1: Form tạo Sprint có các trường Tên, Sprint Goal, Ngày bắt đầu, Ngày kết thúc.
AC2: Sprint mới tạo luôn ở trạng thái PLANNING.
AC3: Bắt buộc có ngày bắt đầu và ngày kết thúc trước khi chuyển Sprint sang ACTIVE.
AC4: Chỉ vai trò có quyền tạo Sprint mới tạo được.","MỘT PHẦN","Entity đã đủ trường nhưng ngày bắt đầu và kết thúc là nullable nên tạo Sprint không ngày vẫn được. Cần bắt buộc nhập ngày, hoặc tối thiểu bắt buộc trước khi chuyển sang ACTIVE. Sau PM-096 thì Sprint chỉ còn tồn tại ở dự án Scrum nên không ảnh hưởng PMI.","P1","G01-03","G01 Vá lỗi & siết validation",""
"PM-024","EP-03 Quản lý Sprint","Khởi tạo Sprint","Validate tên Sprint duy nhất trong dự án","Là một Scrum Master, tôi muốn hệ thống chặn việc đặt trùng tên Sprint trong cùng dự án, để báo cáo và trao đổi không bị nhầm lẫn.","AC1: Tạo hoặc đổi tên Sprint trùng với Sprint đã có trong cùng dự án bị chặn kèm thông báo rõ ràng.
AC2: Ràng buộc được ép bằng UNIQUE index ở cơ sở dữ liệu.
AC3: So sánh không phân biệt hoa thường và bỏ khoảng trắng thừa hai đầu.","CHƯA CÓ","Hiện chỉ trim và kiểm tra rỗng, độ dài; không có UNIQUE index trên (project_id, name). Cần thêm UNIQUE index, xử lý trùng dữ liệu cũ trước khi tạo index, và validate ở service.","P1","G01-04","G01 Vá lỗi & siết validation",""
"PM-025","EP-03 Quản lý Sprint","Khởi tạo Sprint","Validate thời lượng Sprint lớn hơn 0","Là một Scrum Master, tôi muốn hệ thống chặn Sprint có thời lượng bằng 0, để tránh dữ liệu vô nghĩa làm sai lệch biểu đồ.","AC1: Ngày kết thúc phải lớn hơn ngày bắt đầu; bằng nhau cũng bị chặn.
AC2: Ràng buộc được ép ở cả service và CHECK constraint.
AC3: Thông báo lỗi chỉ rõ trường nào sai.","CHƯA CÓ","Hiện chỉ kiểm tra start không lớn hơn end nên Sprint 0 ngày vẫn hợp lệ, ở cả service lẫn CHECK constraint. Cần siết điều kiện thành end lớn hơn hẳn start ở cả 2 tầng.","P1","G01-05","G01 Vá lỗi & siết validation","PM-023"
"PM-026","EP-03 Quản lý Sprint","Vận hành Sprint","Bắt đầu Sprint và chốt cam kết","Là một Scrum Master, tôi muốn bắt đầu Sprint và hệ thống tự ghi lại khối lượng cam kết tại thời điểm đó, để về sau đo được nhóm cam kết bao nhiêu và làm được bao nhiêu.","AC1: Chuyển Sprint từ PLANNING sang ACTIVE ghi lại mốc cam kết cho từng hạng mục đang có trong Sprint.
AC2: Mốc cam kết là bất biến, không thay đổi khi sau đó thêm hoặc bớt hạng mục.
AC3: Luồng trạng thái chỉ cho phép PLANNING sang ACTIVE và ACTIVE sang COMPLETED.","ĐÃ CÓ","Không. Đã có activateWithCommit ghi baseline COMMITTED vào sprint_item_history và state machine chặt. Lưu ý: sau PM-040 mốc cam kết chỉ ghi ở cấp gốc sprint item.","—","—","—",""
"PM-027","EP-03 Quản lý Sprint","Vận hành Sprint","Chỉ cho phép một Sprint Active mỗi dự án","Là một Scrum Master, tôi muốn hệ thống đảm bảo mỗi dự án chỉ có tối đa một Sprint đang chạy, để nhóm không bị phân tán nguồn lực.","AC1: Bắt đầu Sprint thứ hai khi đã có Sprint ACTIVE trả lỗi 409 kèm thông báo rõ ràng.
AC2: Ràng buộc được ép ở cả service và bằng partial unique index.
AC3: Sau khi đóng Sprint hiện tại thì Sprint kế tiếp bắt đầu được ngay.","ĐÃ CÓ","Không. Đã enforce ở cả CountActiveByProject (409) và partial unique index uniq_active_sprint_per_project. Ghi chú kỹ thuật: baseline.sql đang có 2 index trùng chức năng, nên dọn cho sạch.","—","—","—",""
"PM-028","EP-03 Quản lý Sprint","Vận hành Sprint","Trao quyền vận hành Sprint cho Scrum Master và Product Owner","Là một Scrum Master, tôi muốn tự tạo, bắt đầu và kết thúc Sprint mà không phải chờ PMO phê duyệt, để nhóm không bị thắt cổ chai ở khâu quản lý.","AC1: Vai trò Scrum Master và Product Owner được gán sẵn quyền tạo, bắt đầu và kết thúc Sprint.
AC2: Vai trò Developer chỉ xem được Sprint, không vận hành.
AC3: Có permission tách riêng cho hành động bắt đầu và hành động kết thúc Sprint.","MỘT PHẦN","Permission key sprint view, create, update, delete đã có, nhưng bắt đầu và kết thúc dùng chung sprint update, và chưa có vai trò SM, PO để gán. Cần tách permission sprint start và sprint complete; gán vào ma trận quyền của vai trò Scrum mới.","P1","G02-04","G02 Nền tảng Scrum: vai trò & loại thẻ","PM-005"
"PM-029","EP-03 Quản lý Sprint","Vận hành Sprint","Kéo thả hạng mục từ Backlog vào Sprint","Là một Scrum Master, tôi muốn kéo thả hạng mục từ Backlog vào Sprint và thấy tổng Story Point tự cộng dồn ngay, để buổi Sprint Planning diễn ra nhanh.","AC1: Kéo thẻ từ panel Backlog thả vào cột của board sẽ gán thẻ vào Sprint đang chạy.
AC2: Kéo thẻ từ board trả ngược về panel Backlog sẽ gỡ khỏi Sprint.
AC3: Tổng Story Point cam kết cập nhật ngay không cần tải lại trang.
AC4: Thao tác lỗi thì thẻ tự quay về vị trí cũ kèm thông báo.","ĐÃ CÓ","Không. Đã có drag and drop 2 chiều giữa BacklogPanel và board, kèm optimistic UI và rollback. Sau PM-040 thẻ được kéo là Story chứ không phải node lá.","—","—","—",""
"PM-030","EP-03 Quản lý Sprint","Đóng Sprint","Đóng Sprint và xử lý hạng mục chưa hoàn thành","Là một Scrum Master, tôi muốn khi đóng Sprint hệ thống bắt buộc xử lý dứt điểm mọi hạng mục chưa xong, để không có công việc bị bỏ quên.","AC1: Không đóng được Sprint khi còn hạng mục chưa hoàn thành mà chưa chọn cách xử lý.
AC2: Hệ thống liệt kê rõ các hạng mục đang chặn việc đóng Sprint.
AC3: Mỗi lựa chọn xử lý bắt buộc kèm lý do.
AC4: Đóng Sprint tạo bản snapshot số liệu bất biến.","ĐÃ CÓ","Không. Đã có closeSprint chặn khi thiếu resolution, bắt buộc reason, và ghi sprint_report.","—","—","—",""
"PM-031","EP-03 Quản lý Sprint","Đóng Sprint","Chuyển hạng mục dở dang sang Sprint kế tiếp (Spillover)","Là một Scrum Master, tôi muốn khi đóng Sprint có thể chuyển thẳng hạng mục làm chưa xong sang Sprint kế tiếp, thay vì phải trả về Backlog rồi thêm lại thủ công.","AC1: Hộp thoại đóng Sprint có thêm lựa chọn Chuyển sang Sprint kế tiếp bên cạnh lựa chọn Trả về Backlog.
AC2: Chỉ các Sub-task chưa hoàn thành được chuyển đi; Sub-task đã Done ở lại Sprint cũ để ghi nhận công sức đã bỏ ra.
AC3: Số giờ đã log ở Sprint cũ vẫn được tính cho Sprint cũ, không bị chuyển theo.
AC4: Lịch sử ghi rõ hạng mục nào tràn từ Sprint nào sang Sprint nào và vì sao.
AC5: Chọn chuyển tiếp khi chưa có Sprint kế tiếp sẽ hiện gợi ý tạo Sprint mới.
AC6: Chỉ áp dụng cho dự án khung Scrum.","CHƯA CÓ","Hiện cách xử lý duy nhất khi đóng Sprint là trả về Backlog; không có đường code nào gán hạng mục sang Sprint kế. Cần thêm hành động chuyển tiếp; logic tách Sub-task đã xong và chưa xong; ghi bổ sung vào sprint_item_history. Chỉ khả thi sau khi Story kèm Sub-task vào được Sprint.","P1","G07-05","G07 Kỷ luật Backlog & DoD","PM-041"
"PM-032","EP-04 Bảng Scrum & Giám sát tiến độ","Bảng Scrum cơ bản","Xem bảng Scrum theo ba trạng thái lõi","Là một thành viên nhóm, tôi muốn xem công việc của Sprint trên bảng ba cột To Do, Doing, Done, để nắm ngay tình hình.","AC1: Bảng hiển thị đúng 3 cột theo nhóm trạng thái lõi.
AC2: Cột không có hạng mục nào vẫn hiển thị để giữ bố cục ổn định.
AC3: Bảng chỉ hiển thị hạng mục thuộc Sprint đang được chọn.","ĐÃ CÓ","Không. Đã có 3 cột cố định theo kind trong adapter.ts.","—","—","—",""
"PM-033","EP-04 Bảng Scrum & Giám sát tiến độ","Bảng Scrum cơ bản","Tùy biến cột trạng thái nhưng buộc quy về ba trạng thái lõi","Là một Scrum Master, tôi muốn định nghĩa trạng thái riêng cho quy trình của nhóm mình, nhưng mỗi trạng thái đều phải quy về một trong ba nhóm lõi, để báo cáo vẫn hiểu được Done nghĩa là gì.","AC1: Mỗi dự án tự định nghĩa danh sách trạng thái với tên và màu riêng.
AC2: Mỗi trạng thái bắt buộc thuộc một trong ba nhóm todo, in_progress, done.
AC3: Không lưu được trạng thái chưa gán nhóm.
AC4: Báo cáo và bảng Scrum nhận diện Done theo nhóm chứ không theo tên trạng thái.","ĐÃ CÓ","Không. Đã có project_statuses.kind với 3 giá trị và báo cáo dùng IsSprintItemDone theo kind.","—","—","—",""
"PM-034","EP-04 Bảng Scrum & Giám sát tiến độ","Bảng Scrum cơ bản","Kéo thả thẻ đổi trạng thái với phản hồi tức thời","Là một thành viên nhóm, tôi muốn kéo thẻ sang cột khác và thấy thay đổi ngay lập tức, để cập nhật tiến độ nhanh trong buổi Daily.","AC1: Thẻ đổi vị trí ngay khi thả, không chờ phản hồi máy chủ.
AC2: Nếu máy chủ trả lỗi thì đúng thẻ đó quay về trạng thái cũ, các thẻ khác không bị ảnh hưởng.
AC3: Chuyển trạng thái không hợp lệ theo workflow bị chặn trước khi gọi API.
AC4: Không kéo thả được khi Sprint đã đóng hoặc người dùng thiếu quyền.","ĐÃ CÓ","Không. Đã có optimistic UI với rollback từng thẻ và đầy đủ guard.","—","—","—",""
"PM-035","EP-04 Bảng Scrum & Giám sát tiến độ","Chế độ xem","Story View hiển thị thẻ ở cấp User Story","Là một Product Owner, tôi muốn bảng Scrum hiển thị thẻ ở cấp User Story kèm tiến độ tổng hợp, để nhìn tiến trình theo giá trị bàn giao chứ không lạc trong chi tiết kỹ thuật.","AC1: Có nút chuyển đổi giữa các chế độ xem trên thanh công cụ của bảng.
AC2: Ở Story View, thẻ di chuyển trên bảng là User Story.
AC3: Mặt thẻ hiển thị thanh tiến trình và tỷ lệ Task con đã hoàn thành dạng số trên tổng.
AC4: Mặt thẻ hiển thị tỷ lệ mục DoD đã tick dạng số trên tổng.
AC5: Chế độ xem đang chọn được ghi nhớ cho lần truy cập sau.
AC6: Chỉ áp dụng cho dự án khung Scrum.","CHƯA CÓ","Bảng hiện chỉ có một chế độ xem duy nhất; không tồn tại khái niệm viewMode. Badge DoD đã có. TIN TỐT: thanh tiến trình gần như miễn phí vì rollupAncestorsTx đã tự tổng hợp progress từ node con lên cha, và với node Scrum thì planned_value bằng 0 nên rollup rơi vào nhánh trung bình cộng progress các con, đúng thứ Story View cần. TUYỆT ĐỐI KHÔNG thêm sprint_point vào rollup, sẽ phá TestWBSRollupParity.","P0","G06-01","G06 Bảng Scrum nâng cao","PM-041"
"PM-036","EP-04 Bảng Scrum & Giám sát tiến độ","Chế độ xem","Task View với Swimlane theo từng User Story","Là một thành viên nhóm, tôi muốn bảng chia thành các hàng ngang theo từng User Story và thẻ di chuyển là Task con, để buổi Daily thấy rõ ai đang vướng ở đâu.","AC1: Ở Task View, mỗi hàng ngang tương ứng một User Story của Sprint.
AC2: Thẻ di chuyển trong các cột là Task và Sub-task của Story ở hàng đó.
AC3: Mỗi hàng hiển thị tên Story kèm tiến độ tổng hợp của hàng đó.
AC4: Thu gọn và mở rộng được từng hàng.
AC5: Kéo Task sang cột khác không làm Task nhảy sang hàng khác.
AC6: Chỉ áp dụng cho dự án khung Scrum.","CHƯA CÓ","Cần xây layout swimlane và API trả cấu trúc Story kèm Task con của Sprint. Truy vấn thứ hai bên cạnh truy vấn gốc sprint item, lọc theo nhánh cây của từng Story.","P0","G06-02","G06 Bảng Scrum nâng cao","PM-035"
"PM-037","EP-04 Bảng Scrum & Giám sát tiến độ","Chế độ xem","Mở rộng thẻ để tick nhanh Task và DoD ngay trên bảng","Là một thành viên nhóm, tôi muốn tick hoàn thành Task hoặc mục DoD ngay trên thẻ mà không cần mở trang chi tiết, để cập nhật nhanh trong buổi Daily.","AC1: Thẻ có nút mở rộng hiển thị danh sách Task con và checklist DoD.
AC2: Tick một mục sẽ lưu ngay và cập nhật tỷ lệ trên thẻ.
AC3: Thao tác tick tuân thủ đúng phân quyền.
AC4: Tick lỗi thì trạng thái checkbox quay về như cũ kèm thông báo.
AC5: Chỉ áp dụng cho dự án khung Scrum.","CHƯA CÓ","Hiện muốn tick DoD phải mở trang chi tiết node. Cần component panel mở rộng trên thẻ; gọi API DoD sẵn có; bổ sung API cập nhật nhanh trạng thái Task con.","P1","G06-03","G06 Bảng Scrum nâng cao","PM-035"
"PM-038","EP-04 Bảng Scrum & Giám sát tiến độ","Kiểm soát luồng","Thiết lập giới hạn công việc dở dang (WIP Limit)","Là một Scrum Master, tôi muốn đặt số lượng thẻ tối đa cho mỗi cột và được cảnh báo khi vượt trần, để phát hiện ngay điểm nghẽn.","AC1: Cấu hình được WIP Limit cho từng cột ở cấp dự án.
AC2: Cột vượt trần đổi sang màu đỏ cảnh báo kèm hiển thị số hiện tại trên giới hạn.
AC3: Cột chưa đặt giới hạn thì không hiển thị cảnh báo.
AC4: Có tùy chọn chỉ cảnh báo hoặc chặn cứng khi vượt trần.
AC5: Chỉ áp dụng cho dự án khung Scrum.","CHƯA CÓ","Giao diện đã chừa sẵn trường wipLimit nhưng luôn gán null nên nhánh cảnh báo không bao giờ chạy; không có cột wip_limit trong cơ sở dữ liệu. Cần thêm cột cấu hình ở cấp workflow hoặc status; API cấu hình; bật lại UI cảnh báo.","P1","G06-04","G06 Bảng Scrum nâng cao",""
"PM-039","EP-04 Bảng Scrum & Giám sát tiến độ","Kiểm soát luồng","Xem tiến độ Story Point của Sprint đang chạy","Là một Scrum Master, tôi muốn nhìn ngay tỷ lệ Story Point đã hoàn thành trên tổng cam kết của Sprint, để biết nhóm có kịp tiến độ không.","AC1: Đầu bảng hiển thị tổng điểm cam kết, tổng điểm đã hoàn thành và tỷ lệ phần trăm.
AC2: Hạng mục chưa ước lượng điểm được tính là 0 và không làm hỏng phép tính.
AC3: Số liệu cập nhật ngay khi thẻ chuyển sang Done.","ĐÃ CÓ","Không. Đã có sprintStats và SprintProgressMeter. Lưu ý: sau PM-040 phép tính phải chỉ cộng ở cấp gốc sprint item.","—","—","—",""
"PM-040","EP-05 Story, Task & Definition of Done","Mô hình Sprint Backlog","Đưa User Story kèm toàn bộ Sub-task vào Sprint","Là một Product Owner, tôi muốn đưa User Story cùng toàn bộ Task và Sub-task của nó vào Sprint, để Sprint Backlog phản ánh đúng đơn vị giá trị bàn giao theo chuẩn Scrum thay vì các mảnh công việc rời rạc.","AC1: Đơn vị được thêm vào Sprint là node loại Story, xác định theo LOẠI THẺ chứ không theo việc node có con hay không.
AC2: Node loại Epic và Feature không được thêm vào Sprint vì trải dài nhiều Sprint.
AC3: Node được thêm trực tiếp được đánh dấu là gốc sprint item; Task và Sub-task kế thừa được đánh dấu không phải gốc.
AC4: Tổng Story Point của Sprint chỉ cộng ở các gốc sprint item, không cộng trùng từ Task và Sub-task.
AC5: sprint_item_history chỉ ghi sự kiện ở cấp gốc sprint item, để Velocity không đếm trùng.
AC6: Dữ liệu Sprint cũ (đều là node lá) đọc và báo cáo bình thường, được backfill thành gốc sprint item.
AC7: Thao tác gán Sprint KHÔNG kích hoạt rollup và không chạm 5 trường planned_value, actual_cost, progress, estimated_effort, actual_effort.
AC8: Chỉ áp dụng cho dự án khung Scrum; dự án PMI giữ nguyên hành vi hiện tại.","CHƯA CÓ","HẠNG MỤC LÕI CỦA TOÀN BỘ KẾ HOẠCH. Thêm cột đánh dấu gốc sprint item trên wbs_nodes (SetNodesSprint đã là đường ghi sprint_id duy nhất được phép nên chi phí duy trì gần bằng 0). Sửa đúng 7 điểm code: wbs_service_impl.go:473 (đổi điều kiện từ HasChildren sang loại thẻ), wbs_repository_sprint_items.go dòng 21, 259, 270, sprint_repository_impl.go:150, wbs_repository_backlog.go:33, release_repository_impl.go:217. VÁ CÙNG LÚC lỗi tiềm ẩn đã được chính team ghi chú tại entity/sprint.go:36 (ListByProject không lọc has_children nên node cha mang sprint_id sẽ làm phồng total_sprint_point) — hiện vô hại nhưng sẽ kích hoạt NGAY khi Story có con vào Sprint. Cập nhật có chủ đích guard test wbs_sprint_id_writesites_test.go.","P0","G03-01","G03 Mô hình Story và Sub-task trong Sprint","PM-009"
"PM-041","EP-05 Story, Task & Definition of Done","Mô hình Sprint Backlog","Sub-task kế thừa Sprint từ User Story cha","Là một thành viên nhóm, tôi muốn khi Story được kéo vào Sprint thì mọi Task và Sub-task tự động thuộc Sprint đó, để không phải gán lại thủ công từng cái.","AC1: Thêm Story vào Sprint sẽ gán toàn bộ Task và Sub-task trong nhánh cây vào cùng Sprint.
AC2: Toàn bộ thao tác nằm trong một giao dịch; lỗi thì rollback sạch.
AC3: Task hoặc Sub-task tạo mới sau khi Story đã vào Sprint cũng tự thuộc Sprint đó.
AC4: Gỡ Story khỏi Sprint sẽ gỡ theo toàn bộ nhánh cây.
AC5: Hạng mục kế thừa không được đếm vào Story Point cam kết của Sprint.
AC6: Cascade KHÔNG kích hoạt rollup.
AC7: Chỉ áp dụng cho dự án khung Scrum.","CHƯA CÓ","UpdateNode hiện cưỡng bức giữ nguyên sprint_id cũ (wbs_service_impl.go:884, defense-in-depth Phase 382) nên cascade PHẢI đi qua SetNodesSprint là đường ghi duy nhất được phép. SetNodesSprint hiện cố ý không gọi rollup vì sprint_id không phải chỉ số EVM; phải giữ nguyên tính chất này. Xử lý cả trường hợp tạo Task hoặc Sub-task sau khi Story đã vào Sprint bằng hook ở CreateNode.","P0","G03-02","G03 Mô hình Story và Sub-task trong Sprint","PM-040"
"PM-042","EP-05 Story, Task & Definition of Done","Mô hình Sprint Backlog","Bắt buộc Assignee và Estimate cho Sub-task khi Story vào Sprint","Là một Scrum Master, tôi muốn mọi Task và Sub-task trong Sprint đều có người thực hiện và giờ ước lượng, để biết ai làm gì và có đủ dữ liệu vẽ biểu đồ Burndown.","AC1: Story chỉ vào được Sprint khi mọi Task và Sub-task của nó đã có người thực hiện và giờ ước lượng lớn hơn 0.
AC2: Ràng buộc đặt ở bước thêm vào Sprint, KHÔNG đặt ở bước tạo node.
AC3: Thông báo lỗi liệt kê rõ hạng mục nào thiếu thông tin gì.
AC4: Tạo node trong Backlog vẫn không bắt buộc hai trường này.
AC5: Dự án khung PMI hoàn toàn không bị ràng buộc.","CHƯA CÓ","TUYỆT ĐỐI KHÔNG đặt ở CreateNode: sẽ chặn đứng workflow tạo cấu trúc WBS của PMI (tạo trước, gán người sau), làm vỡ CloneNode vốn cố ý set assigned_to NULL (TestCloneNodeNullsAssignedTo), và làm vỡ personal task My Work vốn có ProjectID NULL. Ngoài ra timesheet service gọi thẳng wbsRepo.UpdateNode bypass service nên ràng buộc kiểu NOT NULL ở cơ sở dữ liệu sẽ làm vỡ luồng log giờ.","P1","G03-04","G03 Mô hình Story và Sub-task trong Sprint","PM-041"
"PM-043","EP-05 Story, Task & Definition of Done","Ràng buộc chất lượng","Chặn Story chuyển sang Done khi còn Sub-task dở dang","Là một Scrum Master, tôi muốn hệ thống không cho đánh dấu Story hoàn thành khi bên trong còn Task chưa xong, để triệt tiêu tình trạng báo cáo xong nhưng thực tế chưa xong.","AC1: Chuyển Story sang trạng thái nhóm Done khi còn Task hoặc Sub-task thuộc nhóm To Do hoặc Doing sẽ bị chặn với mã lỗi riêng.
AC2: Thông báo lỗi liệt kê rõ các hạng mục con đang chặn.
AC3: Ràng buộc áp dụng cho mọi đường ghi của dự án Scrum, gồm cả kéo thả trên bảng.
AC4: Story không có hạng mục con nào thì không bị ràng buộc.
AC5: Dự án khung PMI KHÔNG bị ràng buộc này; node cha vẫn đặt Done được khi node con chưa xong, giữ nguyên hành vi hiện tại.","CHƯA CÓ","Guard bằng điều kiện khung bằng Scrum VÀ node là gốc sprint item. TUYỆT ĐỐI KHÔNG sửa evaluateTransitionEdge (đang bị 3 test pin: TestValidateTransition, TestUpdateNode_EnforcesTransition, TestBulkUpdateNodes_EnforcesTransition) — đặt ở nhánh riêng trong UpdateNode. Lưu ý đường bypass: repo.UpdateStatus (wbs_repository_node.go:394) ghi thẳng status_id và được gọi từ ReturnNodesToBacklog để reset trạng thái.","P0","G03-03","G03 Mô hình Story và Sub-task trong Sprint","PM-041"
"PM-044","EP-05 Story, Task & Definition of Done","Definition of Done","Quản lý checklist Definition of Done trên thẻ","Là một Scrum Master, tôi muốn khai báo checklist DoD cho từng thẻ, để tiêu chuẩn hoàn thành được viết ra rõ ràng thay vì hiểu ngầm.","AC1: Thêm, sửa nội dung, tick hoàn thành và xóa được từng mục DoD.
AC2: Mỗi thao tác DoD có permission riêng.
AC3: Thao tác DoD chỉ ảnh hưởng thẻ thuộc đúng dự án của người dùng.","ĐÃ CÓ","Không. Đã có cột definition_of_done kiểu JSONB và 3 permission riêng.","—","—","—",""
"PM-045","EP-05 Story, Task & Definition of Done","Definition of Done","Chặn chuyển sang Done khi DoD chưa hoàn tất 100%","Là một Scrum Master, tôi muốn thẻ không thể chuyển sang Done khi checklist DoD chưa tick đủ, để chất lượng được ràng buộc bằng hệ thống chứ không bằng thỏa thuận miệng.","AC1: Chuyển thẻ vào trạng thái nhóm Done khi DoD chưa đủ 100% bị chặn với HTTP 422 và mã lỗi riêng.
AC2: Thông báo lỗi nêu rõ đã tick bao nhiêu trên tổng bao nhiêu mục.
AC3: Thẻ không khai báo mục DoD nào thì không bị chặn.
AC4: Giao diện kiểm tra trước khi gửi để thẻ không nhấp nháy vô ích.","ĐÃ CÓ","Không. LƯU Ý cho dự án PMI: gate này áp dụng cho MỌI wbs_node chứ không riêng node trong Sprint, chỉ im lặng vì checklist rỗng được coi là hợp lệ. Vì vậy tránh mọi thiết kế kiểu seed DoD mặc định cho mọi node, sẽ vô tình chặn node PMI.","—","—","—",""
"PM-046","EP-05 Story, Task & Definition of Done","Definition of Done","Áp gate DoD cho luồng cập nhật hàng loạt","Là một Scrum Master, tôi muốn ràng buộc DoD được áp dụng ở mọi đường ghi dữ liệu.","AC1: Cập nhật hàng loạt chuyển thẻ sang Done cũng bị chặn nếu DoD chưa đủ.","NGOÀI PHẠM VI","ĐÍNH CHÍNH SO VỚI BÁO CÁO GAP BAN ĐẦU: đây KHÔNG phải lỗi. Caller duy nhất của BulkUpdateNodes là màn hình WBS của dự án PMI; Scrum Board gọi updateNode từng thẻ một nên KHÔNG hưởng lợi gì. Hành vi gate-free được khóa có chủ đích bởi test TestBulkUpdateNodes_DoneGate_NotApplied kèm ghi chú thiết kế D-436-4. Vá gate ở đây chỉ làm hỏng thao tác chọn nhiều dòng rồi đặt Done trên bảng WBS của dự án PMI. Ngoài ra GetNodesByIDs không load cột definition_of_done nên gate sẽ hoặc luôn pass, hoặc phải thêm truy vấn và phá TestBulkUpdateNodes_ConstantQueryCount.","—","—","Ngoài phạm vi Scrum",""
"PM-047","EP-05 Story, Task & Definition of Done","Definition of Done","Duyệt ngoại lệ DoD kèm lý do bắt buộc","Là một Scrum Master hoặc Product Owner, tôi muốn được phép bỏ qua checklist DoD trong trường hợp đặc biệt, nhưng phải ghi lý do, để linh hoạt mà vẫn truy cứu được.","AC1: Chỉ vai trò Scrum Master và Product Owner có quyền duyệt ngoại lệ DoD.
AC2: Duyệt ngoại lệ bắt buộc nhập lý do; để trống thì bị chặn.
AC3: Lý do và người duyệt được ghi vào nhật ký truy vết.
AC4: Thẻ đã được duyệt ngoại lệ hiển thị dấu hiệu nhận biết trên bảng và ở trang chi tiết.
AC5: Có màn hình tra cứu toàn bộ trường hợp đã duyệt ngoại lệ trong dự án.
AC6: Cơ chế ngoại lệ KHÔNG được nới lỏng ngoài ý muốn cho node của dự án PMI có checklist DoD.","CHƯA CÓ","Grep override trong module project cho 0 kết quả; mã lỗi WBS_0028 là chặn cứng không có tham số bypass. Cần thêm permission riêng cho duyệt ngoại lệ; endpoint nhận lý do bắt buộc; ghi nhật ký; badge trên giao diện; màn hình tra cứu. Nhật ký ghi vào wbs_node_activities, KHÔNG đụng activity_logs.","P1","G07-03","G07 Kỷ luật Backlog & DoD","PM-005"
"PM-048","EP-05 Story, Task & Definition of Done","Definition of Done","Ghi nhật ký truy vết cho thao tác DoD","Là một Scrum Master, tôi muốn mọi thay đổi trên checklist DoD đều được ghi lại, để biết ai đã thêm, sửa, tick hay xóa tiêu chí nào.","AC1: Thêm, sửa, tick và xóa mục DoD đều ghi một bản ghi nhật ký.
AC2: Bản ghi lưu người thực hiện, thời điểm, giá trị trước và giá trị sau.
AC3: Nhật ký hiển thị trên dòng thời gian của thẻ.","CHƯA CÓ","wbs_dod_service.go hiện không gọi activity log lẫn node activity, khác với UpdateNode vốn có logNodeChanges. Ghi vào bảng wbs_node_activities (riêng của module PM, đã có sẵn cột giá trị trước và sau), TUYỆT ĐỐI KHÔNG đụng activity_logs vốn dùng chung 5 module.","P1","G07-04","G07 Kỷ luật Backlog & DoD","PM-044"
"PM-049","EP-06 Sprint Review & Retrospective","Sprint Review","Mở phiên Sprint Review khi kết thúc Sprint","Là một Scrum Master, tôi muốn mở một phiên Sprint Review khi Sprint sắp kết thúc, để nhóm trình bày kết quả và Product Owner nghiệm thu chính thức.","AC1: Sprint có thêm trạng thái IN_REVIEW nằm giữa ACTIVE và COMPLETED.
AC2: Mở phiên Review sẽ khóa việc thêm hạng mục mới vào Sprint.
AC3: Màn hình Review liệt kê toàn bộ Story của Sprint kèm trạng thái hiện tại.
AC4: Chỉ Scrum Master và Product Owner mở và đóng được phiên Review.
AC5: Không đóng Sprint được khi phiên Review chưa kết thúc.
AC6: Chỉ áp dụng cho dự án khung Scrum.","CHƯA CÓ","Không có bất kỳ khái niệm review nào ở cấp Sprint; route sprint chỉ gồm CRUD, transition và quản lý item. Cần thêm trạng thái IN_REVIEW vào state machine; bảng sprint_reviews; permission riêng; màn hình Review.","P0","G04-01","G04 Sprint Review","PM-005"
"PM-050","EP-06 Sprint Review & Retrospective","Sprint Review","Product Owner nghiệm thu Accept hoặc Reject từng Story","Là một Product Owner, tôi muốn nghiệm thu hoặc từ chối từng Story trong buổi Review, để chỉ những gì thực sự đạt yêu cầu mới được tính là hoàn thành.","AC1: Mỗi Story trong phiên Review có hai hành động Accept và Reject.
AC2: Chỉ Product Owner thực hiện được hành động nghiệm thu.
AC3: Reject bắt buộc nhập lý do.
AC4: Kết quả nghiệm thu lưu kèm người quyết định và thời điểm, không sửa được sau khi đóng phiên.
AC5: Bảng tổng kết hiển thị số Story được chấp nhận và bị từ chối.
AC6: Chỉ áp dụng cho dự án khung Scrum.","CHƯA CÓ","Không có actor nghiệm thu, không có quyết định Accept hay Reject, không có nhật ký ai nghiệm thu. Thứ gần nhất là checklist DoD nhưng đó là tự tick bởi chính người làm. Cần bảng sprint_review_items lưu kết quả, người quyết định và lý do; API và giao diện nghiệm thu.","P0","G04-02","G04 Sprint Review","PM-049"
