"ID","Epic","Hạng mục","Vai trò thụ hưởng","Loại","MoSCoW","Đợt","Effort","Rủi ro gốc","Phụ thuộc","Giá trị nghiệp vụ","Tiêu chí chấp nhận (Given / When / Then)","Ghi chú kỹ thuật"
"TCK-B032","E10 Phân loại và cộng tác","Hệ thống nhãn cho ticket","Nhân viên xử lý","Tính năng","SHOULD","Đợt 2","M","-","-","Cây danh mục cứng không đủ để phân loại chéo; nhãn cho phép nhóm ticket theo chủ đề phát sinh như một sự cố diện rộng","AC-1 [EC-0 happy]: Given người dùng có quyền gắn nhãn; When gắn 3 nhãn cho một ticket; Then cả 3 hiển thị trên chi tiết và lọc được ở danh sách.
AC-2 [EC-4 duplicate]: Given nhãn Mạng đã tồn tại; When tạo nhãn mạng viết thường; Then hệ thống nhận diện trùng không phân biệt hoa thường và trả 409.
AC-3 [EC-2 boundary]: Given giới hạn 10 nhãn mỗi ticket; When gắn nhãn thứ 11; Then trả 400 với mã lỗi TAG_LIMIT_EXCEEDED.
AC-4 [EC-10 scale]: Given 100 nghìn ticket và 500 nhãn; When lọc theo 2 nhãn kết hợp; Then phản hồi dưới 500ms.","Hai bảng: ticket_tags và bảng ánh xạ"
"TCK-B033","E10 Phân loại và cộng tác","Người theo dõi ticket","Nhân viên liên quan","Tính năng","SHOULD","Đợt 2","M","-","TCK-B019","Hiện chỉ người yêu cầu và người xử lý nhận thông báo; các bên liên quan khác phải hỏi thủ công","AC-1 [EC-0 happy]: Given người dùng bấm theo dõi một ticket; When ticket có bình luận công khai hoặc đổi trạng thái; Then người đó nhận thông báo giống người yêu cầu.
AC-2 [EC-5 authz]: Given người dùng không có quyền xem ticket theo quy tắc tầm nhìn; When cố thêm mình làm người theo dõi; Then trả 403.
AC-3 [EC-5 authz]: Given người theo dõi không phải nhân viên xử lý; When ticket có ghi chú nội bộ; Then không nhận thông báo về ghi chú đó.
AC-4 [EC-8 dangling]: Given người theo dõi bị vô hiệu hoá tài khoản; When gửi thông báo; Then bỏ qua người đó và không sinh lỗi.","-"
"TCK-B034","E10 Phân loại và cộng tác","Liên kết giữa các ticket","Nhân viên xử lý","Tính năng","COULD","Đợt 2","M","-","-","Cần thiết để gộp các ticket trùng trong sự cố diện rộng và để thể hiện quan hệ chặn giữa các yêu cầu","AC-1 [EC-0 happy]: Given hai ticket A và B; When tạo liên kết loại trùng lặp từ A tới B; Then cả hai chi tiết đều hiển thị liên kết với chiều đúng.
AC-2 [EC-4 duplicate]: Given liên kết A tới B đã tồn tại; When tạo lại cùng loại; Then trả 409.
AC-3 [EC-3 invalid]: Given liên kết loại chặn; When tạo chuỗi A chặn B và B chặn A; Then trả 400 với mã lỗi LINK_CYCLE_DETECTED.
AC-4 [EC-8 dangling]: Given ticket B bị xoá; When mở ticket A; Then liên kết hiển thị ở trạng thái không còn hiệu lực chứ không gây lỗi trang.","-"
"TCK-B035","E10 Phân loại và cộng tác","Lý do tạm hoãn và mã lý do giải quyết chuẩn hoá","Quản lý dịch vụ","Tính năng","COULD","Đợt 2","S","-","-","Hiện chỉ có trường resolution dạng văn bản tự do nên không thống kê được nguyên nhân theo nhóm","AC-1 [EC-0 happy]: Given nhân viên chuyển ticket sang trạng thái chờ; When chuyển; Then bắt buộc chọn một lý do tạm hoãn từ danh sách cấu hình được.
AC-2 [EC-0 happy]: Given nhân viên chuyển ticket sang resolved; When chuyển; Then bắt buộc chọn mã lý do giải quyết và nhập mô tả tối thiểu 10 ký tự.
AC-3: Given báo cáo; When xem phân rã theo mã lý do giải quyết; Then hiển thị đúng tỷ trọng theo từng mã trong khoảng thời gian đã chọn.","Bổ sung bảng danh mục lý do; giữ trường resolution hiện có làm mô tả"
"TCK-B036","E11 Tự phục vụ và tri thức","Cổng tự phục vụ đơn giản hoá cho nhân viên","Nhân viên toàn công ty","Tính năng","SHOULD","Đợt 2","L","-","TCK-B001","Form tạo ticket hiện hướng tới người vận hành; nhân viên thường không biết chọn danh mục nào, dẫn tới ticket bị định tuyến sai","AC-1 [EC-0 happy]: Given nhân viên mở cổng tự phục vụ; When tìm kiếm bằng từ khoá đời thường; Then hiển thị tối đa 5 danh mục dịch vụ phù hợp nhất kèm mô tả ngắn.
AC-2 [EC-1 empty]: Given từ khoá không khớp danh mục nào; When tìm kiếm; Then hiển thị lối vào tạo yêu cầu chung thay vì màn hình trắng.
AC-3 [EC-0 happy]: Given nhân viên chọn một danh mục; When mở form; Then chỉ hiển thị các trường thực sự cần cho danh mục đó, không hiển thị trường dành cho người vận hành.
AC-4 [EC-10 scale]: Given 234 danh mục; When tìm kiếm; Then phản hồi dưới 300ms.","-"
"TCK-B037","E11 Tự phục vụ và tri thức","Cơ sở tri thức và gợi ý bài viết khi tạo ticket","Nhân viên toàn công ty","Tính năng","COULD","Đợt 3","XL","-","TCK-B036","Giảm số ticket phải xử lý thủ công bằng cách trả lời trước các câu hỏi lặp lại","AC-1 [EC-0 happy]: Given nhân viên đang nhập tiêu đề yêu cầu; When dừng nhập 500ms; Then hiển thị tối đa 3 bài viết liên quan kèm nút đánh dấu đã giải quyết vấn đề của tôi.
AC-2 [EC-0 happy]: Given nhân viên bấm đã giải quyết; When bấm; Then ticket không được tạo và một bản ghi deflection được ghi nhận gắn với bài viết đó.
AC-3: Given báo cáo; When xem chỉ số deflection; Then hiển thị số lượt tránh được ticket theo từng bài viết trong kỳ.
AC-4 [EC-5 authz]: Given bài viết được đánh dấu nội bộ; When nhân viên thường tìm kiếm; Then bài viết đó không xuất hiện.","Có thể tách thành module riêng nếu phạm vi vượt module ticket"
"TCK-B038","E12 Tích hợp sâu ERP","Liên kết ticket với dự án và công việc","Quản lý dự án","Tích hợp","MUST","Đợt 3","L","-","-","Đây là điểm khác biệt cạnh tranh mà tài liệu nội bộ đã xác định nhưng chưa khai thác; không sản phẩm ITSM độc lập nào làm được vì họ không có module quản lý dự án trong cùng hệ","AC-1 [EC-0 happy]: Given một ticket và một công việc trong dự án; When liên kết chúng; Then chi tiết ticket hiển thị công việc liên quan và chi tiết công việc hiển thị ticket liên quan.
AC-2 [EC-5 authz]: Given người dùng không có quyền xem dự án đích; When chọn công việc để liên kết; Then danh sách không hiển thị công việc thuộc dự án đó.
AC-3 [EC-8 dangling]: Given công việc bị xoá; When mở ticket; Then liên kết hiển thị trạng thái không còn hiệu lực và không gây lỗi trang.
AC-4 [EC-0 happy]: Given ticket được liên kết với công việc; When công việc chuyển sang hoàn thành; Then người xử lý ticket nhận thông báo.","Đã có bảng Kanban ticket theo dự án từ phase 451 làm nền"
"TCK-B039","E12 Tích hợp sâu ERP","Ghi công theo ticket","Nhân viên xử lý","Tích hợp","MUST","Đợt 3","L","-","TCK-B038","Không đo được chi phí thực của dịch vụ nếu không ghi nhận thời gian bỏ ra cho từng ticket","AC-1 [EC-0 happy]: Given nhân viên đang xử lý ticket; When ghi 90 phút cho ngày hôm nay kèm mô tả; Then bản ghi công xuất hiện trên ticket và tổng thời gian của ticket được cập nhật.
AC-2 [EC-5 authz]: Given nhân viên A; When sửa bản ghi công của nhân viên B; Then trả 403 trừ khi A có quyền quản lý ghi công.
AC-3 [EC-9 time]: Given ghi công cho ngày trong tương lai; When lưu; Then trả 400 với mã lỗi WORKLOG_FUTURE_DATE.
AC-4 [EC-2 boundary]: Given tổng thời gian ghi trong một ngày vượt 24 giờ; When lưu; Then cảnh báo và yêu cầu xác nhận.
AC-5: Given báo cáo ticket; When xem theo nhân sự; Then hiển thị tổng giờ ghi công bên cạnh số ticket đã xử lý.","Cân nhắc tái dùng mô hình worklog của module quản lý dự án thay vì tạo mới"
"TCK-B040","E12 Tích hợp sâu ERP","Đồng bộ giờ ghi công ticket vào bảng chấm công","Nhân sự","Tích hợp","SHOULD","Đợt 3","M","-","TCK-B039","Tránh việc nhân viên phải nhập giờ hai lần ở hai module","AC-1 [EC-0 happy]: Given nhân viên ghi 90 phút cho một ticket ngày 05 tháng 8; When mở bảng chấm công ngày đó; Then dòng tương ứng xuất hiện với nguồn là ticket và không sửa được trực tiếp tại bảng chấm công.
AC-2 [EC-6 concurrency]: Given bản ghi công bị xoá ở ticket; When đồng bộ; Then dòng tương ứng ở bảng chấm công cũng bị gỡ.
AC-3 [EC-9 time]: Given kỳ chấm công đã khoá; When ghi công cho ngày thuộc kỳ đó; Then trả 409 với mã lỗi TIMESHEET_PERIOD_LOCKED.","Đã có quyền xem ticket trong timesheet từ migration 000260"
"TCK-B041","E12 Tích hợp sâu ERP","Danh mục tài sản gắn với sự cố","Quản lý dịch vụ","Tích hợp","COULD","Đợt 3","XL","-","-","Hoàn thiện vòng ITIL: biết sự cố xảy ra trên tài sản nào để phân tích nguyên nhân gốc và đánh giá tác động","AC-1 [EC-0 happy]: Given một sự cố; When gắn tài sản bị ảnh hưởng; Then chi tiết tài sản hiển thị lịch sử toàn bộ sự cố liên quan.
AC-2 [EC-0 happy]: Given một tài sản có 5 sự cố trong 30 ngày; When mở báo cáo tài sản có vấn đề; Then tài sản đó xuất hiện trong danh sách xếp theo số sự cố giảm dần.
AC-3 [EC-8 dangling]: Given tài sản đã thanh lý; When gắn vào sự cố mới; Then cảnh báo nhưng vẫn cho phép, phục vụ mục đích ghi nhận lịch sử.","Phạm vi lớn; cân nhắc là module riêng và ticket chỉ tham chiếu"
"TCK-B042","E13 Sức khoẻ kiến trúc","Tách ticket_service.go thành các service theo chủ đề","Đội phát triển","Nợ kỹ thuật","SHOULD","Đợt 3","L","R6","TCK-B013","Tệp 1729 dòng này là điểm nghẽn của mọi phase và là nguồn xung đột merge chính","AC-1 [EC-0 happy]: Given việc tách hoàn tất; When đo kích thước; Then không tệp production nào trong module vượt 700 dòng.
AC-2 [EC-0 happy]: Given toàn bộ bộ test hiện có; When chạy sau khi tách; Then 100 phần trăm test qua mà không sửa nội dung test.
AC-3: Given kiểm tra parity route; When chạy; Then 0 thay đổi so với tệp golden.","Đề xuất tách theo: vòng đời, phân công, tầm nhìn dữ liệu, báo cáo"
"TCK-B043","E13 Sức khoẻ kiến trúc","Tách trang chi tiết ticket thành PageModel và các component con","Đội phát triển","Nợ kỹ thuật","SHOULD","Đợt 3","M","R6","-","Component Svelte 1221 dòng, lớn nhất toàn dự án, khó kiểm thử và khó sửa a11y","AC-1 [EC-0 happy]: Given việc tách hoàn tất; When đo; Then không tệp Svelte nào trong module vượt 300 dòng và cảnh báo max-lines biến mất.
AC-2 [EC-0 happy]: Given bộ test giao diện hiện có; When chạy; Then toàn bộ qua và độ phủ frontend không giảm dưới ngưỡng sàn 70 phần trăm.","Áp dụng cùng mẫu PageModel đã dùng ở các trang khác"
"TCK-B044","E13 Sức khoẻ kiến trúc","Xoá mã chết còn tồn","Đội phát triển","Nợ kỹ thuật","COULD","Đợt 3","S","R15","-","Trường lọc scope và unassigned không còn được giao diện dùng nhưng vẫn tồn tại ở cả hai phía","AC-1 [EC-0 happy]: Given việc xoá hoàn tất; When tìm kiếm toàn bộ mã nguồn; Then không còn tham chiếu tới các trường lọc đã bỏ.
AC-2: Given bộ test; When chạy; Then toàn bộ qua và không có endpoint nào thay đổi hành vi.","Đã ghi nhận và cố ý hoãn ở phase 490"
"TCK-B045","E13 Sức khoẻ kiến trúc","Cập nhật tài liệu thiết kế cho khớp kiến trúc thực tế","Đội phát triển","Tài liệu","SHOULD","Đợt 3","S","R11","-","Kế hoạch gốc quyết định bỏ nhóm hỗ trợ nhưng thực tế từ phase 460 nhóm đã trở thành trung tâm phân công; người mới đọc sẽ hiểu sai kiến trúc","AC-1 [EC-0 happy]: Given tài liệu kế hoạch module ticket; When rà soát; Then mọi quyết định đã bị đảo ngược được đánh dấu rõ kèm số phase đã đảo ngược nó.
AC-2: Given sơ đồ kiến trúc; When đối chiếu với mã nguồn; Then mọi thực thể và quan hệ trong sơ đồ đều tồn tại trong lược đồ dữ liệu hiện tại.","Đồng thời xoá chú thích lỗi thời về phase 372 trong entity ticket"
"TCK-B046","E13 Sức khoẻ kiến trúc","Cổng CI giới hạn kích thước tệp","Đội phát triển","Nợ kỹ thuật","COULD","Đợt 3","S","R6","TCK-B042","Ngăn hình thành god object mới sau khi đã tách xong","AC-1 [EC-0 happy]: Given một pull request tạo ra tệp production vượt ngưỡng; When chạy CI; Then cổng trượt và in ra tên tệp cùng số dòng.
AC-2: Given tệp đã vượt ngưỡng từ trước và chưa tách; When chạy CI; Then được miễn trừ theo danh sách ghi rõ, không chặn công việc khác.","Cơ chế ratchet, danh sách miễn trừ thu hẹp dần"
"TCK-B047","E14 Vòng đời dữ liệu","Xoá mềm ticket","Quản trị viên hệ thống","Tính năng","SHOULD","Đợt 3","M","-","-","Hiện xoá ticket là xoá vĩnh viễn, không khôi phục được khi thao tác nhầm và mất dấu vết kiểm toán","AC-1 [EC-0 happy]: Given người dùng có quyền xoá; When xoá một ticket; Then ticket biến khỏi mọi danh sách và báo cáo nhưng bản ghi vẫn tồn tại với dấu thời gian xoá.
AC-2 [EC-5 authz]: Given quản trị viên; When mở thùng rác; Then thấy ticket đã xoá và khôi phục được về đúng trạng thái trước khi xoá.
AC-3 [EC-4 duplicate]: Given một ticket đã xoá mềm có mã TCK-100; When tạo ticket mới; Then mã mới không bao giờ tái sử dụng TCK-100.
AC-4 [EC-7 state]: Given ticket cha bị xoá mềm; When kiểm tra ticket con; Then các con cũng được xoá mềm theo và khôi phục cùng nhau.","Ảnh hưởng mọi truy vấn danh sách và báo cáo; cần rà kỹ điều kiện lọc"
"TCK-B048","E14 Vòng đời dữ liệu","Chính sách lưu trữ và ẩn danh dữ liệu ticket","Cán bộ tuân thủ","Tuân thủ","COULD","Đợt 3","L","-","TCK-B047","Ticket chứa thông tin cá nhân của người yêu cầu bên ngoài; cần chính sách giữ và xoá rõ ràng","AC-1 [EC-0 happy]: Given chính sách giữ dữ liệu 36 tháng; When ticket đóng quá 36 tháng; Then thông tin cá nhân của người yêu cầu bên ngoài được ẩn danh trong khi số liệu thống kê được giữ nguyên.
AC-2 [EC-0 happy]: Given yêu cầu xoá dữ liệu của một cá nhân; When thực hiện; Then mọi ticket, bình luận và đính kèm liên quan tới cá nhân đó được ẩn danh và có nhật ký ghi lại thao tác.
AC-3: Given dữ liệu đã ẩn danh; When chạy báo cáo của các kỳ trước; Then tổng số liệu không thay đổi.","Cần quyết định chính sách từ phía nghiệp vụ trước khi triển khai"
"TCK-B049","E14 Vòng đời dữ liệu","Nhật ký truy cập ticket có dữ liệu nhạy cảm","Cán bộ tuân thủ","Tuân thủ","COULD","Đợt 3","M","-","-","Cần biết ai đã xem ticket chứa thông tin nhạy cảm để phục vụ điều tra khi có sự cố lộ thông tin","AC-1 [EC-0 happy]: Given một ticket được đánh dấu nhạy cảm; When bất kỳ ai mở chi tiết; Then một bản ghi truy cập được tạo gồm người xem, thời điểm và địa chỉ IP.
AC-2 [EC-5 authz]: Given người dùng thường; When cố xem nhật ký truy cập; Then trả 403.
AC-3 [EC-10 scale]: Given ticket nhạy cảm có 1000 lượt xem; When mở nhật ký; Then phân trang và phản hồi dưới 500ms.","Tái dùng hạ tầng activity log hiện có"
